Trans. Date,Post Date,Description,Amount,Category
01/04/2023,01/06/2023,"RAMEN MANICHI - KONA STR HONOLULU HI",29.53,"Restaurants"
01/05/2023,01/06/2023,"SQ *SHALOHA GRINDZ HONOLULU HI0001152921512347018696",56.77,"Restaurants"
01/05/2023,01/06/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",50.35,"Travel/ Entertainment"
01/06/2023,01/06/2023,"RB SPORTS BAR & GRILL HONOLULU HI",35.00,"Restaurants"
01/06/2023,01/06/2023,"SQ *TASTE TEA HONOLULU HIAPPLE PAY ENDING IN 04440001152921512351198701",10.50,"Restaurants"
01/07/2023,01/07/2023,"JACK IN THE BOX 8233 PEARL CITY HI00761R",35.76,"Restaurants"
01/07/2023,01/07/2023,"SQ *EARL, EAT A REAL L HONOLULU HIAPPLE PAY ENDING IN 04440001152921512354281726",21.47,"Restaurants"
01/09/2023,01/09/2023,"LANIKAI JUICE - KAKA AKO HONOLULU HIAPPLE PAY ENDING IN 0444",7.17,"Restaurants"
01/11/2023,01/11/2023,"SP HAWAIIANHARDBALL 8082283982 HI",15.70,"Merchandise"
01/11/2023,01/11/2023,"TEXACO 0090258 HONOLULU HI00090258 5824686 S",22.59,"Gasoline"
01/12/2023,01/12/2023,"SQ *COCO BLOOM KITCHEN HONOLULU HIAPPLE PAY ENDING IN 04440001152921512366482197",11.52,"Restaurants"
01/12/2023,01/12/2023,"SQ *TASTE TEA HONOLULU HIAPPLE PAY ENDING IN 04440002305843016886301930",10.25,"Restaurants"
01/15/2023,01/15/2023,"T J MAXX #1275 AIEA HIAPPLE PAY ENDING IN 0444",30.51,"Merchandise"
01/16/2023,01/16/2023,"LONGS #04728 PEARL CITY HI",4.37,"Merchandise"
01/20/2023,01/20/2023,"WENDY'S 803-10751 PEARL CITY HI",17.26,"Restaurants"
01/21/2023,01/21/2023,"LONGS #04728 PEARL CITY HI",5.61,"Merchandise"
01/21/2023,01/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
01/22/2023,01/22/2023,"EWR CUSTOM BURGERS C1 866-5083558 NJAPPLE PAY ENDING IN 0444",17.56,"Restaurants"
01/22/2023,01/22/2023,"INSOMNIA COOKIES-PROVI PROVIDENCE RIAPPLE PAY ENDING IN 044402246R",8.64,"Restaurants"
01/22/2023,01/22/2023,"LYFT RIDE SUN 10AM 855-865-9553 CAAPPLE PAY ENDING IN 0444",3.13,"Travel/ Entertainment"
01/22/2023,01/22/2023,"LYFT RIDE SUN 10AM 855-865-9553 CAAPPLE PAY ENDING IN 0444",20.87,"Travel/ Entertainment"
01/23/2023,01/23/2023,"TRADER JOE'S #572 QPS PROVIDENCE RI",41.82,"Supermarkets"
01/24/2023,01/24/2023,"CHIPOTLE 1388 PROVIDENCE RIAPPLE PAY ENDING IN 0444",11.99,"Restaurants"
01/27/2023,01/27/2023,"SHAKE SHACK - 1174 PROVIDENCE RIAPPLE PAY ENDING IN 044402710R",7.01,"Restaurants"
01/29/2023,01/29/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RI",13.21,"Restaurants"
01/29/2023,01/29/2023,"TRADER JOE'S #572 QPS PROVIDENCE RI",80.02,"Supermarkets"
01/30/2023,01/30/2023,"CHICK-FIL-A #03372 SEEKONK MA",14.86,"Restaurants"
01/30/2023,01/30/2023,"USPS PO 4371600107 PROVIDENCE RI",1.22,"Government Services"
01/30/2023,01/30/2023,"WALMART STORE 02184 SEEKONK MA",23.88,"Merchandise"
01/31/2023,01/31/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",16.04,"Merchandise"
