Trans. Date,Post Date,Description,Amount,Category
03/02/2023,03/02/2023,"BOS HUDSON NEWS ST1938 BOSTON MAAPPLE PAY ENDING IN 0444",2.79,"Merchandise"
03/02/2023,03/02/2023,"BOS WAHLBURGER 6551400 BOSTON MAAPPLE PAY ENDING IN 0444",16.35,"Restaurants"
03/02/2023,03/02/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",9.72,"Merchandise"
03/02/2023,03/02/2023,"HUDSON-DUNKIN ST1916 BOSTON MAAPPLE PAY ENDING IN 0444",4.17,"Supermarkets"
03/03/2023,03/03/2023,"SHERATON ATLANTA FB ATLANTA GA",10.26,"Restaurants"
03/04/2023,03/06/2023,"SHERATON ATLANTA FB ATLANTA GA",10.00,"Restaurants"
03/05/2023,03/06/2023,"ATL CNBC ATLANTA GA00540R",18.35,"Merchandise"
03/05/2023,03/06/2023,"ATL FRESHENS ATLANTA GA00539R",9.99,"Restaurants"
03/05/2023,03/06/2023,"FIVE GUYS GA 1583 QSR ATLANTA GA",17.56,"Restaurants"
03/05/2023,03/06/2023,"SHERATON ATLANTA FB ATLANTA GA",9.98,"Restaurants"
03/09/2023,03/09/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",33.82,"Merchandise"
03/09/2023,03/09/2023,"HEALTH SERVICESPHARMACY PROVIDENCE RIAPPLE PAY ENDING IN 0444",7.00,"Merchandise"
03/09/2023,03/09/2023,"TST* BERKSHIRE FARM MARK BOSTON MAAPPLE PAY ENDING IN 0444",13.37,"Restaurants"
03/12/2023,03/12/2023,"BARNEYS BEANERY LOS ANGELES CA",132.92,"Restaurants"
03/13/2023,03/13/2023,"TST* JAMBA JUICE - 10480 LOS ANGELES CAAPPLE PAY ENDING IN 0444",10.09,"Restaurants"
03/14/2023,03/14/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",15.54,"Merchandise"
03/14/2023,03/14/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",21.38,"Merchandise"
03/14/2023,03/14/2023,"DD DOORDASH CHICK-FIL 855-973-1040 CAAPPLE PAY ENDING IN 0444",32.03,"Restaurants"
03/14/2023,03/14/2023,"ESPN PLUS NEW YORK NY",10.46,"Services"
03/16/2023,03/16/2023,"SQ *BEN & JERRY'S PROV PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017230560961",11.88,"Restaurants"
03/17/2023,03/17/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",3.41,"Merchandise"
03/17/2023,03/17/2023,"MIKES CALZONES & DELI PROVIDENCE RIAPPLE PAY ENDING IN 0444",12.50,"Restaurants"
03/19/2023,03/19/2023,"PARK TERRACE DELI NEW YORK NY",28.43,"Supermarkets"
03/19/2023,03/19/2023,"XACO TACO PROVIDENCE RI",114.35,"Restaurants"
03/21/2023,03/21/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",40.11,"Merchandise"
03/21/2023,03/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
03/21/2023,03/21/2023,"WHOLEFDS UNI 10111 PROVIDENCE RIAPPLE PAY ENDING IN 0444",59.03,"Supermarkets"
03/22/2023,03/22/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",18.62,"Restaurants"
03/25/2023,03/25/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",20.40,"Restaurants"
03/27/2023,03/27/2023,"MBTA RIVERSIDE NEWTON MAAPPLE PAY ENDING IN 0444",4.80,"Travel/ Entertainment"
03/27/2023,03/27/2023,"PUTTSHACK BOSTON SEA. 6172957888 MAAPPLE PAY ENDING IN 0444",18.00,"Restaurants"
03/27/2023,03/27/2023,"SQ *BOSTON SCOOPS BOSTON MAAPPLE PAY ENDING IN 04440002305843017294897421",7.50,"Restaurants"
03/28/2023,03/28/2023,"TST* BOSTON BURGER COMPA BOSTON MA",105.21,"Restaurants"
03/29/2023,03/29/2023,"DD DOORDASH THECHEESE 855-973-1040 CAAPPLE PAY ENDING IN 0444",42.56,"Restaurants"
03/29/2023,03/29/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",18.34,"Restaurants"
03/30/2023,03/30/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",23.32,"Merchandise"
03/31/2023,03/31/2023,"AROMA JOES - PROVIDENCE PROVIDENCE RIAPPLE PAY ENDING IN 0444",10.75,"Restaurants"
