Trans. Date,Post Date,Description,Amount,Category
04/01/2023,04/01/2023,"ANGELL NAILS PROVIDENCE RI",75.00,"Services"
04/01/2023,04/01/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017327790749",9.18,"Restaurants"
04/01/2023,04/01/2023,"SQ *ZINNEKEN'S BELGIAN PROVIDENCE RI0002305843017321757188",15.68,"Merchandise"
04/03/2023,04/03/2023,"SOBAN KOREAN BBQ CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",17.66,"Restaurants"
04/03/2023,04/03/2023,"WOMENS FUND OF RHODE I 6072291295 RIAPPLE PAY ENDING IN 0444",5.00,"Services"
04/04/2023,04/04/2023,"TST* MOONSHINE ALLEY PROVIDENCE RI",143.89,"Restaurants"
04/04/2023,04/06/2023,"BROWN UNIV BOOKSTORE PROVIDENCE RI",49.95,"Education"
04/04/2023,04/06/2023,"TRINITY BREWHOUSE PROVIDENCE RI",23.60,"Restaurants"
04/05/2023,04/05/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",6.85,"Travel/ Entertainment"
04/06/2023,04/06/2023,"DD DOORDASH CHICK-FIL 855-973-1040 CAAPPLE PAY ENDING IN 0444",38.11,"Restaurants"
04/06/2023,04/06/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",29.58,"Restaurants"
04/08/2023,04/08/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",25.38,"Restaurants"
04/09/2023,04/09/2023,"FELICIAS COFFEE EAST GREENWICRIAPPLE PAY ENDING IN 0444",15.98,"Restaurants"
04/10/2023,04/10/2023,"DAVES MARKETPLACE #10 CRANSTON RI",90.94,"Supermarkets"
04/11/2023,04/11/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",8.74,"Restaurants"
04/11/2023,04/11/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",14.21,"Restaurants"
04/12/2023,04/12/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017387754861",9.18,"Restaurants"
04/13/2023,04/13/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",6.20,"Merchandise"
04/13/2023,04/13/2023,"ESPN PLUS 800-727-1800 NYESPN PLUS",10.46,"Services"
04/15/2023,04/15/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017410521621",9.18,"Restaurants"
04/16/2023,04/16/2023,"RED SOX TICKETS 877-733-7699 MA",39.00,"Travel/ Entertainment"
04/16/2023,04/16/2023,"YAS CHICKEN PROVIDENCE RIAPPLE PAY ENDING IN 0444",18.79,"Restaurants"
04/17/2023,04/17/2023,"AMK FENWAY PARK CONCES BOSTON MA",12.84,"Restaurants"
04/17/2023,04/17/2023,"AMK FENWAY PARK CONCES BOSTON MA",12.84,"Restaurants"
04/17/2023,04/17/2023,"AMK FENWAY PARK CONCES BOSTON MA",15.50,"Restaurants"
04/17/2023,04/17/2023,"ARAMARK FENWAY PARK RETA BOSTON MAAPPLE PAY ENDING IN 0444",35.00,"Merchandise"
04/17/2023,04/17/2023,"MBTA MTICKET BOSTON MAAPPLE PAY ENDING IN 0444",4.80,"Travel/ Entertainment"
04/17/2023,04/17/2023,"MBTA MTICKET BOSTON MAAPPLE PAY ENDING IN 0444",15.00,"Travel/ Entertainment"
04/18/2023,04/18/2023,"TST* TATTE BAKERY NORTHE BOSTON MAAPPLE PAY ENDING IN 0444",10.54,"Restaurants"
04/20/2023,04/20/2023,"SQ *KOW KOW PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017437655409",9.18,"Restaurants"
04/21/2023,04/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
04/24/2023,04/24/2023,"MCBRIDE'S PROVIDENCE RI",63.63,"Restaurants"
04/24/2023,04/24/2023,"YAS CHICKEN 781-715-8106 RI",15.82,"Restaurants"
04/26/2023,04/26/2023,"SQ *NORA GENTES PROVIDENCE RI0002305843017469418663",90.00,"Services"
04/30/2023,04/30/2023,"BAGEL GOURMET-THAYER ST PROVIDENCE RIAPPLE PAY ENDING IN 0444",37.88,"Restaurants"
04/30/2023,04/30/2023,"MCBRIDE'S PROVIDENCE RI",48.28,"Restaurants"
