Trans. Date,Post Date,Description,Amount,Category
05/02/2023,05/02/2023,"PROVIDENCE BAGEL - PROVI 480-220-3931 RI",31.73,"Restaurants"
05/02/2023,05/02/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",7.94,"Travel/ Entertainment"
05/05/2023,05/06/2023,"AROMA JOES - PROVIDENCE PROVIDENCE RIAPPLE PAY ENDING IN 0444",4.16,"Restaurants"
05/05/2023,05/06/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",37.43,"Merchandise"
05/06/2023,05/06/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",7.92,"Travel/ Entertainment"
05/07/2023,05/07/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",26.51,"Merchandise"
05/07/2023,05/07/2023,"DD DOORDASH MCDONALDS 855-973-1040 CAAPPLE PAY ENDING IN 0444",21.23,"Restaurants"
05/08/2023,05/08/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",24.59,"Merchandise"
05/08/2023,05/08/2023,"DD DOORDASH MCDONALDS 855-973-1040 CAAPPLE PAY ENDING IN 0444",20.23,"Restaurants"
05/08/2023,05/08/2023,"THE MET PAWTUCKET RI",18.00,"Restaurants"
05/08/2023,05/08/2023,"THE MET PAWTUCKET RI",38.00,"Restaurants"
05/09/2023,05/09/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",20.64,"Merchandise"
05/09/2023,05/09/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",5.91,"Travel/ Entertainment"
05/09/2023,05/09/2023,"UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 0444",18.18,"Travel/ Entertainment"
05/10/2023,05/10/2023,"CHIPOTLE 1388 PROVIDENCE RIAPPLE PAY ENDING IN 0444",9.67,"Restaurants"
05/11/2023,05/11/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",5.79,"Merchandise"
05/11/2023,05/11/2023,"DD DOORDASH PANERABRE 855-973-1040 CAAPPLE PAY ENDING IN 0444",37.05,"Restaurants"
05/12/2023,05/12/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",24.06,"Merchandise"
05/14/2023,05/14/2023,"ESPN PLUS 8007271800 NY",10.46,"Services"
05/14/2023,05/14/2023,"TRADER JOE S #572 PROVIDENCE RIAPPLE PAY ENDING IN 0444",56.63,"Supermarkets"
05/16/2023,05/16/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",5.79,"Merchandise"
05/17/2023,05/17/2023,"BERK'S STORES PROVIDENCE RIAPPLE PAY ENDING IN 0444",40.50,"Merchandise"
05/17/2023,05/17/2023,"HEALTH SERVICESPHARMACY PROVIDENCE RI",6.61,"Merchandise"
05/18/2023,05/18/2023,"BBOOKSTORE ST839 CHICAGO ILAPPLE PAY ENDING IN 0444",19.82,"Merchandise"
05/18/2023,05/18/2023,"DD DOORDASH THECHEESE 855-973-1040 CAAPPLE PAY ENDING IN 0444",20.81,"Restaurants"
05/18/2023,05/18/2023,"DD DOORDASH THECHEESE 855-973-1040 CAAPPLE PAY ENDING IN 0444",38.34,"Restaurants"
05/18/2023,05/18/2023,"HUDSONNEWS ST864 DES PLAINES ILAPPLE PAY ENDING IN 0444",16.53,"Merchandise"
05/18/2023,05/18/2023,"TST* BROWN UNIVERSITY FA PROVIDENCE RI",16.00,"Restaurants"
05/19/2023,05/19/2023,"PEARL CITY FOODLAND #09 PEARL CITY HI",10.75,"Supermarkets"
05/19/2023,05/19/2023,"TST* THE ALLEY - ALA M HONOLULU HIAPPLE PAY ENDING IN 044400006580011782867269AA",8.10,"Restaurants"
05/21/2023,05/21/2023,"BLIND VENDORS OHANA-S HONOLULU HIAPPLE PAY ENDING IN 0444",34.98,"Merchandise"
05/21/2023,05/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
05/22/2023,05/22/2023,"DUNKIN #345396 WARWICK RIAPPLE PAY ENDING IN 0444",5.76,"Restaurants"
05/22/2023,05/22/2023,"SQ *TIZZY K'S CEREAL I PROVIDENCE RIAPPLE PAY ENDING IN 04440002305843017644912244",8.45,"Restaurants"
05/23/2023,05/23/2023,"11006 WAYLAND SQUARE PROVIDENCE RI02393R",64.00,"Merchandise"
05/24/2023,05/24/2023,"SQ *KOW KOW PROVIDENCE RI0002305843017656228042",10.26,"Restaurants"
05/24/2023,05/24/2023,"TST* BROWN UNIVERSITY FA PROVIDENCE RI",14.00,"Restaurants"
05/25/2023,05/25/2023,"TST* NARRAGANSETT BEER PROVIDENCE RI",13.50,"Restaurants"
05/26/2023,05/26/2023,"BROWN UNIV BOOKSTORE PROVIDENCE RIAPPLE PAY ENDING IN 0444",32.95,"Education"
05/26/2023,05/26/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",38.25,"Merchandise"
05/29/2023,05/29/2023,"10759 NEWPORT SEASONAL NEWPORT RI02957R",44.00,"Merchandise"
05/29/2023,05/29/2023,"ATHLETA US 3514 NEWPORT RIAPPLE PAY ENDING IN 044402943R",17.49,"Merchandise"
05/29/2023,05/29/2023,"CVS/PHARMACY #00827 PROVIDENCE RIAPPLE PAY ENDING IN 0444",22.53,"Merchandise"
05/29/2023,05/29/2023,"MCDONALD'S F10620 MIDDLETOWN RIAPPLE PAY ENDING IN 0444",3.66,"Restaurants"
05/29/2023,05/29/2023,"SQ *DRIFTWOOD SURF MAR NEWPORT RI0002305843017688021538",36.00,"Merchandise"
