Trans. Date,Post Date,Description,Amount,Category
06/01/2023,06/01/2023,"PVD OCEAN STATE WARWICK RIAPPLE PAY ENDING IN 044400158R",16.76,"Merchandise"
06/04/2023,06/06/2023,"SHARETEA - ALA MOANA HONOLULU HIAPPLE PAY ENDING IN 0444",8.32,"Restaurants"
06/05/2023,06/06/2023,"EXPRESS#2073 AIEA HIAPPLE PAY ENDING IN 0444",75.24,"Merchandise"
06/05/2023,06/06/2023,"MANAOLA PEARLRIDGE AIEA HIAPPLE PAY ENDING IN 0444",123.71,"Merchandise"
06/05/2023,06/06/2023,"NORDSTROM-RACK #0048 HONOLULU HIAPPLE PAY ENDING IN 0444",47.15,"Department Stores"
06/05/2023,06/06/2023,"SQ *TASTE TEA INC WAIPAHU HIAPPLE PAY ENDING IN 04440002305843017734216808",6.02,"Restaurants"
06/05/2023,06/06/2023,"SUBWAY 7996 AIEA HIAPPLE PAY ENDING IN 0444",11.40,"Restaurants"
06/08/2023,06/08/2023,"CBTL WARD #3027 HONOLULU HIAPPLE PAY ENDING IN 0444",12.02,"Restaurants"
06/09/2023,06/09/2023,"MCDONALD'S M5992 OF HI HONOLULU HI",12.80,"Restaurants"
06/10/2023,06/10/2023,"RAISING CANE #34009 PEARL CITY HI",24.69,"Restaurants"
06/12/2023,06/12/2023,"SQ *SPROUT SANDWICH SH GOSQ.COM HIAPPLE PAY ENDING IN 04440002305843017780139312",63.96,"Restaurants"
06/13/2023,06/13/2023,"HAPPY LEMON - HONOLULU W HONOLULU HI",15.97,"Restaurants"
06/14/2023,06/14/2023,"17 ZIPPYS KOKO MARINA HONOLULU HI",15.24,"Restaurants"
06/14/2023,06/14/2023,"ESPN PLUS 8007271800 NY",10.46,"Services"
06/15/2023,06/15/2023,"LONGS #09206 HONOLULU HIAPPLE PAY ENDING IN 0444",10.30,"Merchandise"
06/15/2023,06/15/2023,"LONGS #09206 HONOLULU HIAPPLE PAY ENDING IN 0444",82.96,"Merchandise"
06/15/2023,06/15/2023,"LULULEMON ALA MOANA HONOLULU HI01594R",40.84,"Merchandise"
06/15/2023,06/15/2023,"SP SUGAR SUGAR HAWAI 2698881180 HIAPPLE PAY ENDING IN 0444",39.79,"Merchandise"
06/16/2023,06/16/2023,"MATTRESS FIRM 512004 HONOLULU HI",946.27,"Merchandise"
06/16/2023,06/16/2023,"PARKWHIZ, INC. 888-472-7594 ILAPPLE PAY ENDING IN 0444",6.90,"Services"
06/16/2023,06/16/2023,"PARKWHIZ, INC. 888-472-7594 ILAPPLE PAY ENDING IN 0444",6.90,"Services"
06/17/2023,06/17/2023,"DD DOORDASH YOMIESRIC 855-973-1040 CAAPPLE PAY ENDING IN 0444",17.36,"Restaurants"
06/20/2023,06/20/2023,"SHARETEA - WAIMALU AIEA HIAPPLE PAY ENDING IN 0444",8.06,"Restaurants"
06/21/2023,06/21/2023,"DAVE & BUSTERS #30 HONOLULU HI",21.33,"Restaurants"
06/21/2023,06/21/2023,"MIDAS AUTO SERVICE PEARL CITY HI",26.18,"Automotive"
06/21/2023,06/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
06/22/2023,06/22/2023,"SQ *OFF THE HOOK POKE HONOLULU HI0001152921512908064937",19.36,"Restaurants"
06/23/2023,06/23/2023,"HANA TEA 2 PEARL CITY HIAPPLE PAY ENDING IN 0444",4.92,"Restaurants"
06/23/2023,06/23/2023,"PEARL CITY FOODLAND #09 PEARL CITY HI",22.50,"Supermarkets"
06/29/2023,06/29/2023,"CBTL WARD #3027 HONOLULU HIAPPLE PAY ENDING IN 0444",7.62,"Restaurants"
06/29/2023,06/29/2023,"LS *LA MUSE 180858908 HONOLULU HI",75.39,"Merchandise"
06/29/2023,06/29/2023,"NALU HEALTH BAR AT WARD HONOLULU HI",14.61,"Restaurants"
06/29/2023,06/29/2023,"SHARETEA - WAIMALU AIEA HIAPPLE PAY ENDING IN 0444",8.54,"Restaurants"
06/30/2023,06/30/2023,"CBTL PEARL CITY #3009 PEARL CITY HIAPPLE PAY ENDING IN 0444",10.97,"Restaurants"
06/30/2023,06/30/2023,"SHARETEA - WAIMALU AIEA HIAPPLE PAY ENDING IN 0444",7.28,"Restaurants"
