Trans. Date,Post Date,Description,Amount,Category
07/01/2023,07/01/2023,"TST* MOANI WAIKIKI- 2330 KAPOLEI HI",28.23,"Restaurants"
07/03/2023,07/03/2023,"MCDONALD'S M6076 OF HI WAHIAWA HIAPPLE PAY ENDING IN 0444",9.93,"Restaurants"
07/03/2023,07/03/2023,"PUPUKEA FOODLAND #27 HALEIWA HIAPPLE PAY ENDING IN 0444",21.48,"Supermarkets"
07/07/2023,07/07/2023,"SQ *TASTE TEA HONOLULU HIAPPLE PAY ENDING IN 04440001152921512954589980",18.59,"Restaurants"
07/10/2023,07/10/2023,"YOMIE S RICE AND YOGURT HONOLULU HI",16.29,"Restaurants"
07/12/2023,07/12/2023,"DAYDREAM LLC PEARL CITY HIAPPLE PAY ENDING IN 0444",7.02,"Restaurants"
07/12/2023,07/12/2023,"PALAMA SUPERMARKET WAIMA AIEA HIAPPLE PAY ENDING IN 0444",4.19,"Supermarkets"
07/14/2023,07/14/2023,"ESPN PLUS 8007271800 NY",10.46,"Services"
07/15/2023,07/15/2023,"TST* THE ALLEY - ALA M HONOLULU HIAPPLE PAY ENDING IN 044400006580012704370989AA",9.15,"Restaurants"
07/15/2023,07/15/2023,"WAHLBURGERS - HAWAII HONOLULU HI",22.46,"Restaurants"
07/15/2023,07/15/2023,"ZARA USA 10285 HONOLULU HI01551R",330.48,"Merchandise"
07/15/2023,07/17/2023,"ZARA USA 10285 HONOLULU HI01531R",-73.19,"Payments and Credits"
07/17/2023,07/17/2023,"LONGS #04728 PEARL CITY HIAPPLE PAY ENDING IN 0444",34.40,"Merchandise"
07/17/2023,07/17/2023,"PEARL CITY FOODLAND #09 PEARL CITY HIAPPLE PAY ENDING IN 0444",19.73,"Supermarkets"
07/17/2023,07/19/2023,"ZARA USA 10285 HONOLULU HI01795R",-100.30,"Payments and Credits"
07/18/2023,07/18/2023,"TST* THE ALLEY - ALA M 714-369-4083 HIAPPLE PAY ENDING IN 044400006580012737703561AA",9.15,"Restaurants"
07/19/2023,07/19/2023,"SQ *HAPPY MONDAY COFFE CHICAGO ILAPPLE PAY ENDING IN 04440002305843018021106313",14.99,"Restaurants"
07/19/2023,07/19/2023,"TARGET 00027995091 CHICAGO ILAPPLE PAY ENDING IN 0444",438.45,"Supermarkets"
07/20/2023,07/20/2023,"TARGET 00027995091 CHICAGO ILAPPLE PAY ENDING IN 0444",354.28,"Supermarkets"
07/20/2023,07/20/2023,"TARGET 00027995091 CHICAGO ILAPPLE PAY ENDING IN 0444",423.49,"Supermarkets"
07/21/2023,07/21/2023,"SQ *HAPPY MONDAY COFFE CHICAGO ILAPPLE PAY ENDING IN 04440002305843018034686948",7.20,"Restaurants"
07/21/2023,07/21/2023,"SUNSAMA PRO PLAN 4342424590 CA",20.00,"Merchandise"
07/21/2023,07/21/2023,"TRADER JOE S #696 CHICAGO ILAPPLE PAY ENDING IN 0444",73.56,"Supermarkets"
07/21/2023,07/21/2023,"TST* GOTHAM BAGELS, SOUT CHICAGO ILAPPLE PAY ENDING IN 0444",44.32,"Restaurants"
07/21/2023,07/21/2023,"VENTRA ACCOUNT CHICAGO ILAPPLE PAY ENDING IN 0444",2.50,"Travel/ Entertainment"
07/22/2023,07/22/2023,"NORDSTROM #0220 CHICAGO ILAPPLE PAY ENDING IN 0444",93.70,"Department Stores"
07/22/2023,07/22/2023,"NORDSTROM #0220 CHICAGO ILAPPLE PAY ENDING IN 0444",108.05,"Department Stores"
07/22/2023,07/22/2023,"SP VESSI FOOTWEAR 7788862819 DEAPPLE PAY ENDING IN 0444",114.75,"Merchandise"
07/22/2023,07/22/2023,"SQ *HERO COFFEE BAR - CHICAGO ILAPPLE PAY ENDING IN 04440002305843018044587101",10.57,"Restaurants"
07/22/2023,07/22/2023,"UNDER ARMOUR CHICAGO BRA CHICAGO ILAPPLE PAY ENDING IN 0444",18.74,"Merchandise"
07/24/2023,07/24/2023,"NORDSTROM-RACK #0274 CHICAGO ILAPPLE PAY ENDING IN 0444",88.17,"Department Stores"
07/24/2023,07/24/2023,"NORDSTROM-RACK #0274 CHICAGO ILAPPLE PAY ENDING IN 0444",160.83,"Department Stores"
07/24/2023,07/24/2023,"SQ *HAPPY MONDAY COFFE CHICAGO ILAPPLE PAY ENDING IN 04440002305843018058053229",6.45,"Restaurants"
07/24/2023,07/24/2023,"TARGET.COM * 800-591-3869 MNAPPLE PAY ENDING IN 0444",23.35,"Merchandise"
07/25/2023,07/25/2023,"SQ *HAPPY MONDAY COFFE CHICAGO ILAPPLE PAY ENDING IN 04440002305843018062940988",5.70,"Restaurants"
07/25/2023,07/25/2023,"SQ *MAGGIE EYEBROWS CHICAGO ILAPPLE PAY ENDING IN 04440002305843018063274022",84.00,"Services"
07/25/2023,07/25/2023,"TST* GODDESS EGGYS CHICAGO ILAPPLE PAY ENDING IN 044400002868012860410929AA",18.75,"Restaurants"
07/25/2023,07/25/2023,"VENTRA ACCOUNT CHICAGO ILAPPLE PAY ENDING IN 0444",4.75,"Travel/ Entertainment"
07/26/2023,07/26/2023,"TARGET 00027995091 CHICAGO ILAPPLE PAY ENDING IN 0444",188.57,"Supermarkets"
07/28/2023,07/28/2023,"ART INSTITUTE-ADMISSIO CHICAGO ILAPPLE PAY ENDING IN 04440001000199462307281302",115.00,"Travel/ Entertainment"
07/28/2023,07/28/2023,"SQ *HERO COFFEE BAR - CHICAGO ILAPPLE PAY ENDING IN 04440002305843018082460523",16.69,"Restaurants"
07/28/2023,07/28/2023,"TARGET 00027995091 CHICAGO ILAPPLE PAY ENDING IN 0444",11.90,"Supermarkets"
07/28/2023,07/28/2023,"UNIQLO USA LLC UNIQLO  CHIAGO ILAPPLE PAY ENDING IN 0444",87.97,"Merchandise"
07/29/2023,07/29/2023,"VENTRA MOBILE CHICAGO ILAPPLE PAY ENDING IN 0444",20.00,"Travel/ Entertainment"
07/30/2023,07/30/2023,"TRADER JOE S #701 CHICAGO ILAPPLE PAY ENDING IN 0444",58.81,"Supermarkets"
07/31/2023,07/31/2023,"BR FACTORY US 4349 CHIGACO ILAPPLE PAY ENDING IN 044403175R",106.71,"Merchandise"
07/31/2023,07/31/2023,"SEPHORA STATE STREET CHICAGO ILAPPLE PAY ENDING IN 044406620004048068",133.48,"Merchandise"
07/31/2023,07/31/2023,"UNIQLO USA LLC NEW YORK NYAPPLE PAY ENDING IN 0444",55.01,"Merchandise"
