Trans. Date,Post Date,Description,Amount,Category
06/12/2023,06/12/2023,"SQ *SPROUT SANDWICH SH GOSQ.COM HIAPPLE PAY ENDING IN 04440002305843017780139312",63.96,"Restaurants"
06/13/2023,06/13/2023,"HAPPY LEMON - HONOLULU W HONOLULU HI",15.97,"Restaurants"
06/14/2023,06/14/2023,"17 ZIPPYS KOKO MARINA HONOLULU HI",15.24,"Restaurants"
06/14/2023,06/14/2023,"ESPN PLUS 8007271800 NY",10.46,"Services"
06/15/2023,06/15/2023,"LONGS #09206 HONOLULU HIAPPLE PAY ENDING IN 0444",10.30,"Merchandise"
06/15/2023,06/15/2023,"LONGS #09206 HONOLULU HIAPPLE PAY ENDING IN 0444",82.96,"Merchandise"
06/15/2023,06/15/2023,"LULULEMON ALA MOANA HONOLULU HI01594R",40.84,"Merchandise"
06/15/2023,06/15/2023,"SP SUGAR SUGAR HAWAI 2698881180 HIAPPLE PAY ENDING IN 0444",39.79,"Merchandise"
06/16/2023,06/16/2023,"MATTRESS FIRM 512004 HONOLULU HI",946.27,"Merchandise"
06/16/2023,06/16/2023,"PARKWHIZ INC. 888-472-7594 ILAPPLE PAY ENDING IN 0444",6.90,"Services"
06/16/2023,06/16/2023,"PARKWHIZ INC. 888-472-7594 ILAPPLE PAY ENDING IN 0444",6.90,"Services"
